# The power spectrum definition is smaller than CAMB by a factor 8 pi^3.
#       k [h/Mpc]           P_cdm          P_vcdm         P_total
           1e-30    1.23507e+106    1.23507e+106    1.23507e+106
     1.35936e-30    3.61709e+105    3.61709e+105    3.61709e+105
     1.84785e-30    1.05932e+105    1.05932e+105    1.05932e+105
     2.51189e-30    3.10237e+104    3.10237e+104    3.10237e+104
     3.41455e-30    9.08573e+103    9.08573e+103    9.08573e+103
     4.64159e-30    2.66089e+103    2.66089e+103    2.66089e+103
     6.30957e-30    7.79279e+102    7.79279e+102    7.79279e+102
     8.57696e-30    2.28223e+102    2.28223e+102    2.28223e+102
     1.16591e-29    6.68385e+101    6.68385e+101    6.68385e+101
     1.58489e-29    1.95746e+101    1.95746e+101    1.95746e+101
     2.15443e-29    5.73271e+100    5.73271e+100    5.73271e+100
     2.92864e-29    1.67891e+100    1.67891e+100    1.67891e+100
     3.98107e-29     4.91692e+99     4.91692e+99     4.91692e+99
      5.4117e-29     1.43999e+99     1.43999e+99     1.43999e+99
     7.35642e-29     4.21722e+98     4.21722e+98     4.21722e+98
           1e-28     1.23507e+98     1.23507e+98     1.23507e+98
     1.35936e-28     3.61709e+97     3.61709e+97     3.61709e+97
     1.84785e-28     1.05932e+97     1.05932e+97     1.05932e+97
     2.51189e-28     3.10237e+96     3.10237e+96     3.10237e+96
     3.41455e-28     9.08573e+95     9.08573e+95     9.08573e+95
     4.64159e-28     2.66089e+95     2.66089e+95     2.66089e+95
     6.30957e-28     7.79279e+94     7.79279e+94     7.79279e+94
     8.57696e-28     2.28223e+94     2.28223e+94     2.28223e+94
     1.16591e-27     6.68385e+93     6.68385e+93     6.68385e+93
     1.58489e-27     1.95746e+93     1.95746e+93     1.95746e+93
     2.15443e-27     5.73271e+92     5.73271e+92     5.73271e+92
     2.92864e-27     1.67891e+92     1.67891e+92     1.67891e+92
     3.98107e-27     4.91692e+91     4.91692e+91     4.91692e+91
      5.4117e-27     1.43999e+91     1.43999e+91     1.43999e+91
     7.35642e-27     4.21722e+90     4.21722e+90     4.21722e+90
           1e-26     1.23507e+90     1.23507e+90     1.23507e+90
     1.35936e-26     3.61709e+89     3.61709e+89     3.61709e+89
     1.84785e-26     1.05932e+89     1.05932e+89     1.05932e+89
     2.51189e-26     3.10237e+88     3.10237e+88     3.10237e+88
     3.41455e-26     9.08573e+87     9.08573e+87     9.08573e+87
     4.64159e-26     2.66089e+87     2.66089e+87     2.66089e+87
     6.30957e-26     7.79279e+86     7.79279e+86     7.79279e+86
     8.57696e-26     2.28223e+86     2.28223e+86     2.28223e+86
     1.16591e-25     6.68385e+85     6.68385e+85     6.68385e+85
     1.58489e-25     1.95746e+85     1.95746e+85     1.95746e+85
     2.15443e-25     5.73271e+84     5.73271e+84     5.73271e+84
     2.92864e-25     1.67891e+84     1.67891e+84     1.67891e+84
     3.98107e-25     4.91692e+83     4.91692e+83     4.91692e+83
      5.4117e-25     1.43999e+83     1.43999e+83     1.43999e+83
     7.35642e-25     4.21722e+82     4.21722e+82     4.21722e+82
           1e-24     1.23507e+82     1.23507e+82     1.23507e+82
     1.35936e-24     3.61709e+81     3.61709e+81     3.61709e+81
     1.84785e-24     1.05932e+81     1.05932e+81     1.05932e+81
     2.51189e-24     3.10237e+80     3.10237e+80     3.10237e+80
     3.41455e-24     9.08573e+79     9.08573e+79     9.08573e+79
     4.64159e-24     2.66089e+79     2.66089e+79     2.66089e+79
     6.30957e-24     7.79279e+78     7.79279e+78     7.79279e+78
     8.57696e-24     2.28223e+78     2.28223e+78     2.28223e+78
     1.16591e-23     6.68385e+77     6.68385e+77     6.68385e+77
     1.58489e-23     1.95746e+77     1.95746e+77     1.95746e+77
     2.15443e-23     5.73271e+76     5.73271e+76     5.73271e+76
     2.92864e-23     1.67891e+76     1.67891e+76     1.67891e+76
     3.98107e-23     4.91692e+75     4.91692e+75     4.91692e+75
      5.4117e-23     1.43999e+75     1.43999e+75     1.43999e+75
     7.35642e-23     4.21722e+74     4.21722e+74     4.21722e+74
           1e-22     1.23507e+74     1.23507e+74     1.23507e+74
     1.35936e-22     3.61709e+73     3.61709e+73     3.61709e+73
     1.84785e-22     1.05932e+73     1.05932e+73     1.05932e+73
     2.51189e-22     3.10237e+72     3.10237e+72     3.10237e+72
     3.41455e-22     9.08573e+71     9.08573e+71     9.08573e+71
     4.64159e-22     2.66089e+71     2.66089e+71     2.66089e+71
     6.30957e-22     7.79279e+70     7.79279e+70     7.79279e+70
     8.57696e-22     2.28223e+70     2.28223e+70     2.28223e+70
     1.16591e-21     6.68385e+69     6.68385e+69     6.68385e+69
     1.58489e-21     1.95746e+69     1.95746e+69     1.95746e+69
     2.15443e-21     5.73271e+68     5.73271e+68     5.73271e+68
     2.92864e-21     1.67891e+68     1.67891e+68     1.67891e+68
     3.98107e-21     4.91692e+67     4.91692e+67     4.91692e+67
      5.4117e-21     1.43999e+67     1.43999e+67     1.43999e+67
     7.35642e-21     4.21722e+66     4.21722e+66     4.21722e+66
           1e-20     1.23507e+66     1.23507e+66     1.23507e+66
     1.35936e-20     3.61709e+65     3.61709e+65     3.61709e+65
     1.84785e-20     1.05932e+65     1.05932e+65     1.05932e+65
     2.51189e-20     3.10237e+64     3.10237e+64     3.10237e+64
     3.41455e-20     9.08573e+63     9.08573e+63     9.08573e+63
     4.64159e-20     2.66089e+63     2.66089e+63     2.66089e+63
     6.30957e-20     7.79279e+62     7.79279e+62     7.79279e+62
     8.57696e-20     2.28223e+62     2.28223e+62     2.28223e+62
     1.16591e-19     6.68385e+61     6.68385e+61     6.68385e+61
     1.58489e-19     1.95746e+61     1.95746e+61     1.95746e+61
     2.15443e-19     5.73271e+60     5.73271e+60     5.73271e+60
     2.92864e-19     1.67891e+60     1.67891e+60     1.67891e+60
     3.98107e-19     4.91692e+59     4.91692e+59     4.91692e+59
      5.4117e-19     1.43999e+59     1.43999e+59     1.43999e+59
     7.35642e-19     4.21722e+58     4.21722e+58     4.21722e+58
           1e-18     1.23507e+58     1.23507e+58     1.23507e+58
     1.35936e-18     3.61709e+57     3.61709e+57     3.61709e+57
     1.84785e-18     1.05932e+57     1.05932e+57     1.05932e+57
     2.51189e-18     3.10237e+56     3.10237e+56     3.10237e+56
     3.41455e-18     9.08573e+55     9.08573e+55     9.08573e+55
     4.64159e-18     2.66089e+55     2.66089e+55     2.66089e+55
     6.30957e-18     7.79279e+54     7.79279e+54     7.79279e+54
     8.57696e-18     2.28223e+54     2.28223e+54     2.28223e+54
     1.16591e-17     6.68385e+53     6.68385e+53     6.68385e+53
     1.58489e-17     1.95746e+53     1.95746e+53     1.95746e+53
     2.15443e-17     5.73271e+52     5.73271e+52     5.73271e+52
     2.92864e-17     1.67891e+52     1.67891e+52     1.67891e+52
     3.98107e-17     4.91692e+51     4.91692e+51     4.91692e+51
      5.4117e-17     1.43999e+51     1.43999e+51     1.43999e+51
     7.35642e-17     4.21722e+50     4.21722e+50     4.21722e+50
           1e-16     1.23507e+50     1.23507e+50     1.23507e+50
     1.35936e-16     3.61709e+49     3.61709e+49     3.61709e+49
     1.84785e-16     1.05932e+49     1.05932e+49     1.05932e+49
     2.51189e-16     3.10237e+48     3.10237e+48     3.10237e+48
     3.41455e-16     9.08573e+47     9.08573e+47     9.08573e+47
     4.64159e-16     2.66089e+47     2.66089e+47     2.66089e+47
     6.30957e-16     7.79279e+46     7.79279e+46     7.79279e+46
     8.57696e-16     2.28223e+46     2.28223e+46     2.28223e+46
     1.16591e-15     6.68385e+45     6.68385e+45     6.68385e+45
     1.58489e-15     1.95746e+45     1.95746e+45     1.95746e+45
     2.15443e-15     5.73271e+44     5.73271e+44     5.73271e+44
     2.92864e-15     1.67891e+44     1.67891e+44     1.67891e+44
     3.98107e-15     4.91692e+43     4.91692e+43     4.91692e+43
      5.4117e-15     1.43999e+43     1.43999e+43     1.43999e+43
     7.35642e-15     4.21722e+42     4.21722e+42     4.21722e+42
           1e-14     1.23507e+42     1.23507e+42     1.23507e+42
     1.35936e-14     3.61709e+41     3.61709e+41     3.61709e+41
     1.84785e-14     1.05932e+41     1.05932e+41     1.05932e+41
     2.51189e-14     3.10237e+40     3.10237e+40     3.10237e+40
     3.41455e-14     9.08573e+39     9.08573e+39     9.08573e+39
     4.64159e-14     2.66089e+39     2.66089e+39     2.66089e+39
     6.30957e-14     7.79279e+38     7.79279e+38     7.79279e+38
     8.57696e-14     2.28223e+38     2.28223e+38     2.28223e+38
     1.16591e-13     6.68385e+37     6.68385e+37     6.68385e+37
     1.58489e-13     1.95746e+37     1.95746e+37     1.95746e+37
     2.15443e-13     5.73271e+36     5.73271e+36     5.73271e+36
     2.92864e-13     1.67891e+36     1.67891e+36     1.67891e+36
     3.98107e-13     4.91692e+35     4.91692e+35     4.91692e+35
      5.4117e-13     1.43999e+35     1.43999e+35     1.43999e+35
